MK-312BT Mouser BOM Updated 4/18/2026,,,,,,,
Designator,Description,Quantity Per Unit,Supplier Part #,Part #,Sourced?,Mouser URL,Amazon URL
"C15,C16",CAP 18pF,2,80-C315C180J1G,C315C180J1G5TA,X,https://www.mouser.com/c/?q=80-C315C180J1G,https://www.amazon.com/s?k=C315C180J1G5TA
"R14,R15,R19,",RES 1K,3,660-MF1/4DC1001F,MF1/4DC1001F,X,https://www.mouser.com/c/?q=660-MF1%2F4DC1001F,https://www.amazon.com/s?k=MF1%2F4DC1001F
"R12,R23,R25,R26",RES 1M,4,660-MF1/4DCT52R1004F,MF1/4DCT52R1004F,X,https://www.mouser.com/c/?q=660-MF1%2F4DCT52R1004F,https://www.amazon.com/s?k=MF1%2F4DCT52R1004F
D1,DIODE 1N4004,1,621-1N4004,1N4004-T,X,https://www.mouser.com/c/?q=621-1N4004,https://www.amazon.com/s?k=1N4004-T
"D2,D3",DIODE 1N4148,2,512-1N4148,1N4148,X,https://www.mouser.com/c/?q=512-1N4148,https://www.amazon.com/s?k=1N4148
"C25,C27","CAP 1nF (0.1"" spacing)",2,80-C315C102K1G,C315C102K1G5TA,X,https://www.mouser.com/c/?q=80-C315C102K1G,https://www.amazon.com/s?k=C315C102K1G5TA
"C20,C30,C31,C33,C34,C35,C36","CAP 1uF (0.1"" spacing)",7,80-C315C105K3R,C315C105K3R5TA,X,https://www.mouser.com/c/?q=80-C315C105K3R,https://www.amazon.com/s?k=C315C105K3R5TA
"R35,R46",RES 200K,2,660-MF1/4DCT52R2003F,MF1/4DCT52R2003F,X,https://www.mouser.com/c/?q=660-MF1%2F4DCT52R2003F,https://www.amazon.com/s?k=MF1%2F4DCT52R2003F
"R11,R16,R17,R22,R24,R4",RES 20K,6,660-MF1/4DCT52R2002F,MF1/4DCT52R2002F,X,https://www.mouser.com/c/?q=660-MF1%2F4DCT52R2002F,https://www.amazon.com/s?k=MF1%2F4DCT52R2002F
"J10,J11",PAK100/2500-24 - 2425-  3M WALL HEADER,2,517-N2524-6002RB,N2524-6002RB,X,https://www.mouser.com/c/?q=517-N2524-6002RB,https://www.amazon.com/s?k=N2524-6002RB
"Q7,Q8",TRANS. 2N3904,2,512-2N3904BU,2N3904BU,X,https://www.mouser.com/c/?q=512-2N3904BU,https://www.amazon.com/s?k=2N3904BU
R6,RES 3.3K,1,660-MF1/4DCT52R3301F,MF1/4DCT52R3301F,X,https://www.mouser.com/c/?q=660-MF1%2F4DCT52R3301F,https://www.amazon.com/s?k=MF1%2F4DCT52R3301F
"R7,R8,R9",RES 4.7K,3,660-MF1/4DC4701F,MF1/4DC4701F,X,https://www.mouser.com/c/?q=660-MF1%2F4DC4701F,https://www.amazon.com/s?k=MF1%2F4DC4701F
U3,CD4066N,1,595-CD4066BE,CD4066BE,X,https://www.mouser.com/c/?q=595-CD4066BE,https://www.amazon.com/s?k=CD4066BE
R13,RES 47K,1,660-MF1/4DCT52R4702F,MF1/4DCT52R4702F,X,https://www.mouser.com/c/?q=660-MF1%2F4DCT52R4702F,https://www.amazon.com/s?k=MF1%2F4DCT52R4702F
U13,Replaces 7805CV - Switching Regulator,1,495-TSR-1-2450,TSR 1-2450,X,https://www.mouser.com/c/?q=495-TSR-1-2450,https://www.amazon.com/s?k=TSR%201-2450
"U11,U12",VREG 7809TV,2,511-L7809CV,L7809CV,✓,https://www.mouser.com/c/?q=511-L7809CV,https://www.amazon.com/s?k=L7809CV
XTAL1,8MHZ XTAL HC-49S,1,717-9B-8.000MEEJ-B,815-ABL-8-B2,X,https://www.mouser.com/c/?q=717-9B-8.000MEEJ-B,https://www.amazon.com/s?k=815-ABL-8-B2
U1,ATMEGA 16P,1,556-ATMEGA16A-PU,ATMEGA16A-PU,X,https://www.mouser.com/c/?q=556-ATMEGA16A-PU,https://www.amazon.com/s?k=ATMEGA16A-PU
LCD1,LCD HD44780LCD-1602,1,763-0216K1Z-NSW-BBW,NHD-0216K1Z-NSW-FBW-L,X,https://www.mouser.com/c/?q=763-0216K1Z-NSW-BBW,https://www.amazon.com/s?k=NHD-0216K1Z-NSW-FBW-L
"Q3,Q6",MOSFET IRF9Z24,2,942-IRF9Z24NPBF,IRF9Z24NPBF,X,https://www.mouser.com/c/?q=942-IRF9Z24NPBF,https://www.amazon.com/s?k=IRF9Z24NPBF
"Q1,Q2,Q4,Q5",MOSFET IRL520N,4,942-IRL520NPBF,IRL520NPBF,✓,https://www.mouser.com/c/?q=942-IRL520NPBF,https://www.amazon.com/s?k=IRL520NPBF
JP1,ISP 6 PIN,1,571-5-146254-3,5-146254-3,X,https://www.mouser.com/c/?q=571-5-146254-3,https://www.amazon.com/s?k=5-146254-3
U14,LM2941,1,926-LM2941CT/NOPB,LM2941CT/NOPB,X,https://www.mouser.com/c/?q=926-LM2941CT%2FNOPB,https://www.amazon.com/s?k=LM2941CT%2FNOPB
