MK-312BT Mouser BOM Updated 4/18/2026,,,,,,
Designator,Description,Quantity Per Unit,Supplier Part #,Part #,Mouser URL,Amazon URL
S5,Toggle Switch with safety actuator,1,611-7101K2AV2BE,7101K2AV2BE,https://www.mouser.com/c/?q=611-7101K2AV2BE,
J9,Radio Header,1,538-90147-1206,90147-1206,https://www.mouser.com/c/?q=538-90147-1206,
Gray button covers,Button Cover,2,611-BTND610F,BTND610F,https://www.mouser.com/c/?q=611-BTND610F,
White button covers,Button Cover,2,611-BTND600F,BTN D6 00 F,https://www.mouser.com/c/?q=611-BTND600F,
LCD HEADER,LCD Header,1,710-61301611121,61301611121,https://www.mouser.com/c/?q=710-61301611121,
Knob,Potentiometer Knob,3,450-BA761,BA761,https://www.mouser.com/c/?q=450-BA761,
BAT1,Lead Acid Battery,1,547-PS-1220,PS-1220,https://www.mouser.com/c/?q=547-PS-1220,
BAT1 Lugs,Crimp Lubs for BAT1,2,534-8291,534-8291,https://www.mouser.com/c/?q=534-8291,
Power Supply,"18V, 1A .5.5mm OD plug",1,709-GST18U18-P1J,GST18U18-P1J,https://www.mouser.com/c/?q=709-GST18U18-P1J,
20K Opt. Variant,RES 18K,2,660-MF1/4DCT52R1802F,MF1/4DCT52R1802F,https://www.mouser.com/c/?q=660-MF1%2F4DCT52R1802F,
R30,RES 0.27R 1W,1,660-MOSX1CT528RR27J,MOSX1CT528RR27J,https://www.mouser.com/c/?q=660-MOSX1CT528RR27J,
(LED Brightness Opt. 1),RES 100R,1,660-MF1/4DCT52R1000F,MF1/4DCT52R1000F,https://www.mouser.com/c/?q=660-MF1%2F4DCT52R1000F,
(LED Brightness Opt. 2),RES 150R,1,660-MF1/4DCT52R1500F,MF1/4DCT52R1500F,https://www.mouser.com/c/?q=660-MF1%2F4DCT52R1500F,
(LED Brightness Opt. 3),RES 220R,1,660-MF1/4DCT52R2200F,MF1/4DCT52R2200F,https://www.mouser.com/c/?q=660-MF1%2F4DCT52R2200F,
"C4, C5, C6, C7",Aluminum Organic Polymer Capacitors 25Vo 1000uF RAD 2KHr ESR=14 mOhms,4,80-A750MV108M1EAAE14,A750MV108M1EAAE014,https://www.mouser.com/c/?q=80-A750MV108M1EAAE14,
"J2,J3,J4,J5,J6,J7",Phone Connectors 3.5mm PCB STEREO BLK 5P W/SWITCH,6,806-STX-3100-5N,STX-3100-5N,https://www.mouser.com/c/?q=806-STX-3100-5N,
"TR1,TR2",Audio Transformers / Signal Transformers XFMR OUT 200CT-8 3.2,2,42TU200-RC,42TU200-RC,https://www.mouser.com/c/?q=42TU200-RC,
PACTEC Case,Case,1,616-63025-510-000,63025-510-000,https://www.mouser.com/c/?q=616-63025-510-000,
U8A,Digital to Analog Converters - DAC uP 2x 10-B DAC in MS,1,584-LTC1661IN8#PBF,LTC1661IN8#PBF,https://www.mouser.com/c/?q=584-LTC1661IN8%23PBF,
Ribbon Cable,Ribbon Cable,,200-IDSD12D0200,IDSD-12-D-02.00,https://www.mouser.com/c/?q=200-IDSD12D0200,
Battery,12V 2.5AH Sealed Lead Acid Battery,1,547-PS-1220F1,PS-1220F1,https://www.mouser.com/c/?q=547-PS-1220F1,
C8,10 uF 50V 77 mOhms ORganic aluminum Polymer Capacitor,1,581-RPF0508100M050K,RPF0508100M050K,https://www.mouser.com/c/?q=581-RPF0508100M050K,
