Mouser Part Number,Quantity,Manufacturer Part Number,Customer Part Number,Description
750-AMS1117-3.3,1,AMS1117-3.3,"U1 (WiFi PCB) — SMD SOT-223 — DO NOT ORDER if using JLCPCB PCBA SMT assembly (LCSC C6186 factory-fitted)","LDO REG 3.3V SOT-223 (SKIP if using JLC PCBA)"
80-C320C104K5R,2,C320C104K5R5TA,"C1,C2 (WiFi PCB)","CAP 0.1uF 50V"
512-PN2222ABU,1,PN2222ABU,Q1 (WiFi PCB),TRANS. PN2222A NPN
653-B3F-1000,1,B3F-1000,SW1 (WiFi PCB),Tactile Switch SPST
571-826629-6,1,826629-6,J1 (WiFi PCB),TE 6-pin Connector
200-PPPC042LFBN-RC,1,PPPC042LFBN-RC,J2 (WiFi PCB),4-pin Socket 2x2
